frame,x,y,heading_deg,matches,vo_status
237,0.158,0.035,-489.61,0,low_texture_hold_pose
238,0.158,0.035,-489.61,0,low_texture_hold_pose
239,0.158,0.035,-489.61,0,low_texture_hold_pose
240,0.158,0.035,-489.61,0,low_texture_hold_pose
241,0.158,0.035,-489.61,3,low_texture_hold_pose
242,0.158,0.035,-489.61,0,low_texture_hold_pose
243,0.158,0.035,-489.61,0,low_texture_hold_pose
244,0.158,0.035,-489.61,4,low_texture_hold_pose
245,0.118,0.005,-492.06,23,ok
246,0.153,0.04,-495.05,86,ok
247,0.193,0.07,-494.87,139,ok
248,0.178,0.023,-497.36,51,ok
249,0.15,-0.019,-499.61,35,ok
250,0.175,-0.062,-498.21,202,ok
251,0.213,-0.029,-499.36,126,ok
252,0.164,-0.018,-500.92,95,ok
253,0.196,0.02,-501.19,170,ok
254,0.157,-0.011,-501.93,148,ok
255,0.131,-0.054,-501.94,219,ok
256,0.132,-0.104,-502.07,65,ok
257,0.091,-0.132,-505.15,23,ok
258,0.12,-0.172,-504.72,260,ok
259,0.073,-0.189,-506.03,157,ok
260,0.121,-0.173,-506.2,366,ok
261,0.162,-0.145,-506.14,235,ok
262,0.134,-0.186,-504.83,226,ok
263,0.095,-0.218,-504.54,138,ok
264,0.132,-0.184,-505.12,83,ok
265,0.179,-0.167,-506.48,136,ok
266,0.227,-0.178,-506.14,172,ok
267,0.188,-0.147,-507.61,318,ok
268,0.23,-0.174,-506.87,408,ok
269,0.28,-0.175,-507.0,440,ok
270,0.231,-0.184,-506.96,522,ok
271,0.188,-0.159,-507.51,482,ok
272,0.159,-0.2,-559.43,506,ok
273,0.117,-0.228,-559.48,384,ok
274,0.106,-0.277,-558.61,441,ok
275,0.079,-0.235,-559.02,527,ok
276,0.042,-0.201,-559.13,513,ok
277,0.005,-0.168,-559.17,283,ok
278,-0.041,-0.148,-559.38,230,ok
279,0.005,-0.167,-559.2,310,ok
280,0.045,-0.197,-559.47,359,ok
281,0.084,-0.228,-559.68,488,ok
282,0.059,-0.271,-558.3,405,ok
283,0.012,-0.29,-557.59,310,ok
284,-0.029,-0.318,-558.13,439,ok
285,0.008,-0.352,-558.2,369,ok
286,0.023,-0.305,-561.83,410,ok
287,-0.014,-0.271,-562.01,406,ok
288,-0.035,-0.317,-561.56,287,ok
289,-0.072,-0.284,-563.05,191,ok
290,-0.11,-0.316,-561.02,311,ok
291,-0.088,-0.361,-561.22,349,ok
292,-0.068,-0.406,-560.41,273,ok
293,-0.116,-0.393,-556.94,44,ok
294,-0.156,-0.363,-553.39,36,ok
295,-0.156,-0.363,-553.39,14,low_texture_hold_pose
296,-0.156,-0.363,-553.39,1,low_texture_hold_pose
297,-0.152,-0.313,-557.78,22,ok
298,-0.196,-0.336,-674.35,439,ok
299,-0.171,-0.379,-679.2,61,ok
300,-0.171,-0.379,-679.2,5,low_texture_hold_pose
301,-0.171,-0.379,-679.2,12,low_texture_hold_pose
302,-0.171,-0.379,-679.2,1,low_texture_hold_pose
303,-0.175,-0.429,-795.76,56,ok
304,-0.175,-0.429,-795.76,2,low_texture_hold_pose
305,-0.175,-0.429,-795.76,1,low_texture_hold_pose
306,-0.175,-0.429,-795.76,0,init
307,-0.175,-0.429,-795.76,0,init
308,-0.175,-0.429,-795.76,8,low_texture_hold_pose
309,-0.175,-0.429,-795.76,6,low_texture_hold_pose
310,-0.175,-0.429,-795.76,0,low_texture_hold_pose
311,-0.22,-0.45,-883.68,26,ok
312,-0.22,-0.45,-883.68,0,low_texture_hold_pose
313,-0.22,-0.45,-883.68,10,low_texture_hold_pose
314,-0.22,-0.45,-883.68,0,low_texture_hold_pose
315,-0.22,-0.45,-883.68,0,low_texture_hold_pose
316,-0.22,-0.45,-883.68,6,low_texture_hold_pose
317,-0.22,-0.45,-883.68,8,low_texture_hold_pose
318,-0.22,-0.45,-883.68,0,low_texture_hold_pose
319,-0.22,-0.45,-883.68,7,low_texture_hold_pose
320,-0.22,-0.45,-883.68,7,low_texture_hold_pose
321,-0.22,-0.45,-883.68,11,low_texture_hold_pose
322,-0.22,-0.45,-883.68,0,low_texture_hold_pose
323,-0.22,-0.45,-883.68,5,low_texture_hold_pose
324,-0.22,-0.45,-883.68,0,low_texture_hold_pose
325,-0.22,-0.45,-883.68,4,low_texture_hold_pose
326,-0.22,-0.45,-883.68,3,low_texture_hold_pose
327,-0.22,-0.45,-883.68,0,low_texture_hold_pose
328,-0.22,-0.45,-883.68,0,init
329,-0.22,-0.45,-883.68,0,init
330,-0.22,-0.45,-883.68,0,init
331,-0.22,-0.45,-883.68,0,init
332,-0.22,-0.45,-883.68,0,low_texture_hold_pose
333,-0.22,-0.45,-883.68,2,low_texture_hold_pose
334,-0.22,-0.45,-883.68,0,low_texture_hold_pose
335,-0.22,-0.45,-883.68,7,low_texture_hold_pose
336,-0.22,-0.45,-883.68,1,low_texture_hold_pose
337,-0.22,-0.45,-883.68,8,low_texture_hold_pose
338,-0.22,-0.45,-883.68,0,init
339,-0.22,-0.45,-883.68,0,init
340,-0.22,-0.45,-883.68,0,init
341,-0.22,-0.45,-883.68,0,init
342,-0.22,-0.45,-883.68,0,low_texture_hold_pose
343,-0.22,-0.45,-883.68,0,init
344,-0.22,-0.45,-883.68,0,init
345,-0.22,-0.45,-883.68,0,low_texture_hold_pose
346,-0.196,-0.406,-1000.24,24,ok
347,-0.196,-0.406,-1000.24,5,low_texture_hold_pose
348,-0.196,-0.406,-1000.24,0,init
349,-0.196,-0.406,-1000.24,0,init
350,-0.224,-0.365,-1116.81,16,ok
351,-0.224,-0.365,-1116.81,0,low_texture_hold_pose
352,-0.224,-0.365,-1116.81,13,low_texture_hold_pose
353,-0.175,-0.358,-1116.81,154,ok
354,-0.136,-0.389,-1114.76,16,ok
355,-0.094,-0.416,-1113.93,18,ok
356,-0.094,-0.416,-1113.93,0,insufficient_features
357,-0.094,-0.416,-1113.93,0,insufficient_features
358,-0.094,-0.416,-1113.93,0,insufficient_features
359,-0.094,-0.416,-1113.93,4,low_texture_hold_pose
360,-0.094,-0.416,-1113.93,0,insufficient_features
361,-0.094,-0.416,-1113.93,0,insufficient_features
362,-0.143,-0.426,-1230.49,38,ok
363,-0.143,-0.426,-1230.49,4,low_texture_hold_pose
364,-0.143,-0.426,-1230.49,10,low_texture_hold_pose
365,-0.143,-0.426,-1230.49,5,low_texture_hold_pose
366,-0.143,-0.426,-1230.49,13,low_texture_hold_pose
367,-0.157,-0.474,-1347.06,774,ok
368,-0.204,-0.458,-1347.06,52,ok
369,-0.205,-0.508,-1347.06,405,ok
370,-0.21,-0.458,-1347.06,504,ok
371,-0.213,-0.508,-1347.06,398,ok
372,-0.209,-0.458,-1347.07,411,ok
373,-0.209,-0.458,-1347.07,418,ok
374,-0.258,-0.467,-1344.69,309,ok
375,-0.252,-0.516,-1344.69,359,ok
376,-0.271,-0.47,-1344.69,301,ok
377,-0.319,-0.454,-1344.69,287,ok
378,-0.329,-0.503,-1344.69,242,ok
379,-0.368,-0.471,-1461.26,800,ok
380,-0.323,-0.493,-1461.26,613,ok
381,-0.339,-0.445,-1461.26,650,ok
382,-0.294,-0.468,-1461.26,336,ok
383,-0.337,-0.443,-1461.26,493,ok
384,-0.382,-0.421,-1461.26,564,ok
385,-0.332,-0.42,-1461.26,453,ok
386,-0.381,-0.41,-1461.26,402,ok
387,-0.408,-0.368,-1461.26,400,ok
388,-0.455,-0.35,-1461.26,430,ok
389,-0.497,-0.322,-1461.35,356,ok
390,-0.531,-0.286,-1461.35,336,ok
391,-0.577,-0.306,-1461.35,492,ok
392,-0.622,-0.326,-1461.35,568,ok
393,-0.585,-0.293,-1461.04,590,ok
394,-0.574,-0.341,-1349.48,588,ok
395,-0.622,-0.328,-1349.48,523,ok
396,-0.625,-0.279,-1349.48,411,ok
397,-0.661,-0.244,-1349.48,789,ok
398,-0.696,-0.208,-1349.48,375,ok
399,-0.694,-0.159,-1349.48,341,ok
400,-0.682,-0.11,-1349.48,396,ok
401,-0.731,-0.121,-1181.84,465,ok
402,-0.683,-0.136,-1181.84,495,ok
403,-0.709,-0.179,-1181.84,477,ok
404,-0.705,-0.129,-1181.84,475,ok
405,-0.732,-0.171,-1181.84,488,ok
406,-0.732,-0.171,-1181.84,14,low_texture_hold_pose
407,-0.737,-0.121,-1220.66,21,ok
408,-0.737,-0.121,-1220.66,0,init
409,-0.737,-0.121,-1220.66,0,init
410,-0.737,-0.121,-1220.66,0,low_texture_hold_pose
411,-0.732,-0.071,-1337.22,58,ok
412,-0.755,-0.027,-1177.54,15,ok
413,-0.755,-0.027,-1177.54,0,low_texture_hold_pose
414,-0.755,-0.027,-1177.54,3,low_texture_hold_pose
415,-0.755,-0.027,-1177.54,1,low_texture_hold_pose
416,-0.785,0.013,-1294.11,81,ok
417,-0.785,0.013,-1294.11,1,low_texture_hold_pose
418,-0.785,0.013,-1294.11,9,low_texture_hold_pose
419,-0.802,0.06,-1310.76,21,ok
420,-0.782,0.014,-1309.83,23,ok
421,-0.832,0.018,-1426.39,284,ok
422,-0.877,0.04,-1426.32,29,ok
423,-0.877,0.04,-1426.32,10,low_texture_hold_pose
424,-0.877,0.04,-1426.32,2,low_texture_hold_pose
425,-0.877,0.04,-1426.32,4,low_texture_hold_pose
426,-0.827,0.039,-1426.09,28,ok
427,-0.827,0.039,-1426.09,6,low_texture_hold_pose
428,-0.801,0.082,-1426.09,53,ok
429,-0.801,0.082,-1426.09,6,low_texture_hold_pose
430,-0.801,0.082,-1426.09,8,low_texture_hold_pose
431,-0.801,0.082,-1426.09,10,low_texture_hold_pose
432,-0.801,0.082,-1426.09,8,low_texture_hold_pose
433,-0.801,0.082,-1426.09,10,low_texture_hold_pose
434,-0.751,0.079,-1429.13,18,ok
435,-0.723,0.12,-1545.7,38,ok
436,-0.723,0.12,-1545.7,11,low_texture_hold_pose
437,-0.723,0.12,-1545.7,10,low_texture_hold_pose
438,-0.723,0.12,-1545.7,6,low_texture_hold_pose
439,-0.723,0.12,-1545.7,8,low_texture_hold_pose
440,-0.723,0.12,-1545.7,4,low_texture_hold_pose
441,-0.723,0.12,-1545.7,1,low_texture_hold_pose
442,-0.723,0.12,-1545.7,0,low_texture_hold_pose
443,-0.723,0.12,-1545.7,0,init
444,-0.723,0.12,-1545.7,0,init
445,-0.723,0.12,-1545.7,0,init
446,-0.723,0.12,-1545.7,0,low_texture_hold_pose
447,-0.723,0.12,-1545.7,6,low_texture_hold_pose
448,-0.723,0.12,-1545.7,2,low_texture_hold_pose
449,-0.723,0.12,-1545.7,4,low_texture_hold_pose
450,-0.723,0.12,-1545.7,0,low_texture_hold_pose
451,-0.723,0.12,-1545.7,4,low_texture_hold_pose
452,-0.723,0.12,-1545.7,4,low_texture_hold_pose
453,-0.723,0.12,-1545.7,0,low_texture_hold_pose
454,-0.723,0.12,-1545.7,7,low_texture_hold_pose
455,-0.723,0.12,-1545.7,12,low_texture_hold_pose
456,-0.723,0.12,-1545.7,11,low_texture_hold_pose
457,-0.699,0.077,-1545.7,52,ok
458,-0.678,0.122,-1545.62,26,ok
459,-0.684,0.172,-1545.84,46,ok
460,-0.686,0.222,-1545.93,23,ok
461,-0.686,0.222,-1545.93,14,low_texture_hold_pose
462,-0.735,0.209,-1545.93,55,ok
463,-0.71,0.165,-1662.49,144,ok
464,-0.755,0.143,-1658.58,38,ok
465,-0.782,0.185,-1658.58,123,ok
466,-0.747,0.221,-1658.54,161,ok
467,-0.764,0.268,-1658.54,390,ok
468,-0.812,0.281,-1658.54,344,ok
469,-0.784,0.24,-1658.54,497,ok
470,-0.741,0.265,-1658.54,583,ok
471,-0.73,0.217,-1658.54,494,ok
472,-0.699,0.177,-1658.53,490,ok
473,-0.749,0.171,-1658.53,492,ok
474,-0.724,0.128,-1658.53,519,ok
475,-0.686,0.161,-1658.53,459,ok
476,-0.639,0.147,-1658.53,519,ok
477,-0.6,0.114,-1658.53,483,ok
478,-0.621,0.069,-1658.53,514,ok
479,-0.571,0.069,-1658.53,495,ok
480,-0.608,0.102,-1658.46,533,ok
481,-0.561,0.119,-1807.43,492,ok
482,-0.522,0.149,-1807.43,474,ok
483,-0.572,0.148,-1807.43,459,ok
484,-0.622,0.145,-1807.43,442,ok
485,-0.671,0.14,-1807.43,506,ok
486,-0.632,0.171,-1807.43,441,ok
487,-0.676,0.194,-1807.43,480,ok
488,-0.627,0.205,-1807.43,456,ok
489,-0.661,0.242,-1807.43,477,ok
490,-0.706,0.263,-1807.43,528,ok
491,-0.671,0.228,-1807.43,572,ok
492,-0.629,0.2,-1807.43,450,ok
493,-0.678,0.188,-1807.43,479,ok
494,-0.653,0.232,-1807.43,466,ok
495,-0.608,0.21,-1807.43,404,ok
496,-0.658,0.207,-1807.43,443,ok
497,-0.629,0.166,-1807.46,50,ok
