frame,label,confidence,distance_m,direction,placeholder
275,fire_placeholder,0.05,15.91,front-right,True
276,fire_placeholder,0.05,9.21,front-left,True
276,fire_placeholder,0.05,5.3,front,True
276,fire_placeholder,0.05,7.14,front-right,True
276,fire_placeholder,0.05,10.77,front,True
276,fire_placeholder,0.05,29.17,front,True
276,fire_placeholder,0.05,8.64,front-left,True
276,fire_placeholder,0.05,25.0,front-left,True
276,fire_placeholder,0.05,16.28,front-right,True
277,fire_placeholder,0.05,18.42,front-left,True
277,fire_placeholder,0.05,5.15,front,True
277,fire_placeholder,0.05,7.95,front-right,True
277,fire_placeholder,0.05,14.89,front,True
277,fire_placeholder,0.05,33.33,front-left,True
277,fire_placeholder,0.05,10.45,front-left,True
277,fire_placeholder,0.05,17.5,front-right,True
278,backpack,0.455,5.54,front,False
278,person,0.371,3.84,front-right,False
278,fire_placeholder,0.05,7.69,front,True
278,fire_placeholder,0.05,4.22,front,True
278,fire_placeholder,0.05,5.56,front-right,True
278,fire_placeholder,0.05,15.22,front,True
278,fire_placeholder,0.05,26.92,front,True
278,fire_placeholder,0.05,9.33,front-left,True
278,fire_placeholder,0.05,24.14,front-left,True
278,fire_placeholder,0.05,16.67,front-right,True
279,person,0.474,3.29,front-right,False
279,backpack,0.377,5.96,front,False
279,fire_placeholder,0.05,18.42,front-left,True
279,fire_placeholder,0.05,11.29,front-right,True
279,fire_placeholder,0.05,6.48,front-left,True
279,fire_placeholder,0.05,14.29,front,True
279,fire_placeholder,0.05,25.93,front,True
279,fire_placeholder,0.05,9.09,front-left,True
279,fire_placeholder,0.05,24.14,front-left,True
279,fire_placeholder,0.05,16.28,front-right,True
280,fire_placeholder,0.05,14.0,front-right,True
280,fire_placeholder,0.05,17.95,front-left,True
280,fire_placeholder,0.05,10.45,front-right,True
280,fire_placeholder,0.05,5.51,front-left,True
280,fire_placeholder,0.05,14.58,front,True
280,fire_placeholder,0.05,31.82,front-left,True
280,fire_placeholder,0.05,8.86,front-left,True
280,fire_placeholder,0.05,23.33,front-left,True
